SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
τύχας,urn:cite:fuSyntax:0085003tokens.2897028_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:274.6,urn:cite:fuSyntax:0085003sentences.2897028,1745,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897028_16,τύχη1
τέλους,urn:cite:fuSyntax:0085003tokens.2897028_21,urn:cts:greekLit:tlg0085.tlg003.fuSyn:275.6,urn:cite:fuSyntax:0085003sentences.2897028,1751,n-s---ng-,urn:cite:fuSyntax:0085003tokens.2897028_20,τέλοσ
πημονὴ,urn:cite:fuSyntax:0085003tokens.2897030_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:278.4,urn:cite:fuSyntax:0085003sentences.2897030,1770,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2897030_8,πημονή1
Προμηθεῦ,urn:cite:fuSyntax:0085003tokens.2897031_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:280.3,urn:cite:fuSyntax:0085003sentences.2897031,1778,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2897031_3,Προμηθεύσ
ποδὶ,urn:cite:fuSyntax:0085003tokens.2897032_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:281.4,urn:cite:fuSyntax:0085003sentences.2897032,1783,n-s---md-,urn:cite:fuSyntax:0085003tokens.2897032_7,πούσ
θᾶκον,urn:cite:fuSyntax:0085003tokens.2897032_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:282.1,urn:cite:fuSyntax:0085003sentences.2897032,1785,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897032_10,θᾶκοσ
αἰθέρα,urn:cite:fuSyntax:0085003tokens.2897032_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:282.4,urn:cite:fuSyntax:0085003sentences.2897032,1788,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897032_10,αἰθήρ1
πόρον,urn:cite:fuSyntax:0085003tokens.2897032_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:283.1,urn:cite:fuSyntax:0085003sentences.2897032,1791,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897032_10,πόροσ
οἰωνῶν,urn:cite:fuSyntax:0085003tokens.2897032_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:283.2,urn:cite:fuSyntax:0085003sentences.2897032,1792,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2897032_12,οἰωνόσ
χθονὶ,urn:cite:fuSyntax:0085003tokens.2897032_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:284.1,urn:cite:fuSyntax:0085003sentences.2897032,1795,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2897032_18,χθών1
πόνους,urn:cite:fuSyntax:0085003tokens.2897032_23,urn:cts:greekLit:tlg0085.tlg003.fuSyn:284.8,urn:cite:fuSyntax:0085003sentences.2897032,1802,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2897032_27,πόνοσ
τέρμα,urn:cite:fuSyntax:0085003tokens.2897033_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:286.3,urn:cite:fuSyntax:0085003sentences.2897033,1810,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897033_5,τέρμα1
κελεύθου,urn:cite:fuSyntax:0085003tokens.2897033_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:286.4,urn:cite:fuSyntax:0085003sentences.2897033,1811,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2897033_3,κέλευθοσ
Προμηθεῦ,urn:cite:fuSyntax:0085003tokens.2897033_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:287.5,urn:cite:fuSyntax:0085003sentences.2897033,1816,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2897033_1,Προμηθεύσ
οἰωνὸν,urn:cite:fuSyntax:0085003tokens.2897033_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:288.4,urn:cite:fuSyntax:0085003sentences.2897033,1821,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897033_18,οἰωνόσ
γνώμῃ,urn:cite:fuSyntax:0085003tokens.2897033_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:289.1,urn:cite:fuSyntax:0085003sentences.2897033,1822,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2897033_18,γνώμη1
στομίων,urn:cite:fuSyntax:0085003tokens.2897033_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:289.2,urn:cite:fuSyntax:0085003sentences.2897033,1823,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2897033_17,στόμιον1
τύχαις,urn:cite:fuSyntax:0085003tokens.2897034_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:290.4,urn:cite:fuSyntax:0085003sentences.2897034,1830,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897034_8,τύχη1
γένους,urn:cite:fuSyntax:0085003tokens.2897035_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:293.3,urn:cite:fuSyntax:0085003sentences.2897035,1849,n-s---ng-,urn:cite:fuSyntax:0085003tokens.2897035_12,γένοσ
μοῖραν,urn:cite:fuSyntax:0085003tokens.2897035_19,urn:cts:greekLit:tlg0085.tlg003.fuSyn:294.2,urn:cite:fuSyntax:0085003sentences.2897035,1854,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897035_20,μοῖρα1
Ὠκεανοῦ,urn:cite:fuSyntax:0085003tokens.2897038_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:298.6,urn:cite:fuSyntax:0085003sentences.2897038,1886,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897038_9,Ὠκεανόσ
χρῆμα,urn:cite:fuSyntax:0085003tokens.2897040_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:300.4,urn:cite:fuSyntax:0085003sentences.2897040,1895,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897040_3,χρῆμα1
πόνων,urn:cite:fuSyntax:0085003tokens.2897041_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:300.10,urn:cite:fuSyntax:0085003sentences.2897041,1901,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2897041_7,πόνοσ
ἐπόπτης,urn:cite:fuSyntax:0085003tokens.2897041_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:301.2,urn:cite:fuSyntax:0085003sentences.2897041,1904,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897041_6,ἐπόπτησ
ῥεῦμα,urn:cite:fuSyntax:0085003tokens.2897042_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:302.3,urn:cite:fuSyntax:0085003sentences.2897042,1912,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897042_8,ῥεῦμα1
ἄντρα,urn:cite:fuSyntax:0085003tokens.2897042_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:303.2,urn:cite:fuSyntax:0085003sentences.2897042,1916,n-p---na-,urn:cite:fuSyntax:0085003tokens.2897042_8,ἄντρον1
σιδηρομήτορα,urn:cite:fuSyntax:0085003tokens.2897042_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:303.5,urn:cite:fuSyntax:0085003sentences.2897042,1919,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897042_17,σιδηρομήτωρ1
αἶαν,urn:cite:fuSyntax:0085003tokens.2897042_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:304.3,urn:cite:fuSyntax:0085003sentences.2897042,1922,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897042_16,αἶα1
τύχας,urn:cite:fuSyntax:0085003tokens.2897043_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:304.7,urn:cite:fuSyntax:0085003sentences.2897043,1926,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897043_2,τύχη1
θέαμα,urn:cite:fuSyntax:0085003tokens.2897044_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:306.2,urn:cite:fuSyntax:0085003sentences.2897044,1934,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897044_13,θέαμα1
Διὸς,urn:cite:fuSyntax:0085003tokens.2897044_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:306.6,urn:cite:fuSyntax:0085003sentences.2897044,1938,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897044_7,Ζεύσ
τυραννίδα,urn:cite:fuSyntax:0085003tokens.2897044_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:307.4,urn:cite:fuSyntax:0085003sentences.2897044,1944,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897044_10,τυραννίσ
πημοναῖσι,urn:cite:fuSyntax:0085003tokens.2897044_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:308.4,urn:cite:fuSyntax:0085003sentences.2897044,1949,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897044_18,πημονή1
Προμηθεῦ,urn:cite:fuSyntax:0085003tokens.2897045_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:309.3,urn:cite:fuSyntax:0085003sentences.2897045,1954,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2897045_1,Προμηθεύσ
τρόπους,urn:cite:fuSyntax:0085003tokens.2897046_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:311.5,urn:cite:fuSyntax:0085003sentences.2897046,1972,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2897046_4,τρόποσ
τύραννος,urn:cite:fuSyntax:0085003tokens.2897047_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:312.6,urn:cite:fuSyntax:0085003sentences.2897047,1978,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897047_0,τύραννοσ
θεοῖς,urn:cite:fuSyntax:0085003tokens.2897047_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:312.8,urn:cite:fuSyntax:0085003sentences.2897047,1980,n-p---md-,urn:cite:fuSyntax:0085003tokens.2897047_5,θεόσ
λόγους,urn:cite:fuSyntax:0085003tokens.2897048_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:313.7,urn:cite:fuSyntax:0085003sentences.2897048,1988,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2897048_8,λόγοσ
Ζεύς,urn:cite:fuSyntax:0085003tokens.2897048_18,urn:cts:greekLit:tlg0085.tlg003.fuSyn:315.3,urn:cite:fuSyntax:0085003sentences.2897048,1999,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897048_17,Ζεύσ
ὄχλον,urn:cite:fuSyntax:0085003tokens.2897048_24,urn:cts:greekLit:tlg0085.tlg003.fuSyn:315.9,urn:cite:fuSyntax:0085003sentences.2897048,2005,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897048_29,ὄχλοσ
μόχθων,urn:cite:fuSyntax:0085003tokens.2897048_26,urn:cts:greekLit:tlg0085.tlg003.fuSyn:316.2,urn:cite:fuSyntax:0085003sentences.2897048,2007,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2897048_24,μόχθοσ
παιδιὰν,urn:cite:fuSyntax:0085003tokens.2897048_27,urn:cts:greekLit:tlg0085.tlg003.fuSyn:316.3,urn:cite:fuSyntax:0085003sentences.2897048,2008,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897048_28,παιδιή1
ὀργὰς,urn:cite:fuSyntax:0085003tokens.2897049_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:317.8,urn:cite:fuSyntax:0085003sentences.2897049,2019,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897049_9,ὀργή1
πημάτων,urn:cite:fuSyntax:0085003tokens.2897049_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:318.4,urn:cite:fuSyntax:0085003sentences.2897049,2025,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2897049_15,πῆμα1
ἀπαλλαγάς,urn:cite:fuSyntax:0085003tokens.2897049_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:318.5,urn:cite:fuSyntax:0085003sentences.2897049,2026,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897049_11,ἀπαλλαγή1
ἄγαν,urn:cite:fuSyntax:0085003tokens.2897051_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:320.4,urn:cite:fuSyntax:0085003sentences.2897051,2038,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897051_5,ἄγη1
γλώσσης,urn:cite:fuSyntax:0085003tokens.2897051_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:321.1,urn:cite:fuSyntax:0085003sentences.2897051,2040,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2897051_10,γλῶσσα1
Προμηθεῦ,urn:cite:fuSyntax:0085003tokens.2897051_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:321.3,urn:cite:fuSyntax:0085003sentences.2897051,2042,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2897051_11,Προμηθεύσ
τἀπίχειρα,urn:cite:fuSyntax:0085003tokens.2897051_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:321.5,urn:cite:fuSyntax:0085003sentences.2897051,2044,n-p---nn-,urn:cite:fuSyntax:0085003tokens.2897051_11,ἐπίχειρον1
διδασκάλῳ,urn:cite:fuSyntax:0085003tokens.2897053_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:324.4,urn:cite:fuSyntax:0085003sentences.2897053,2067,n-s---md-,urn:cite:fuSyntax:0085003tokens.2897053_2,διδάσκαλοσ
κέντρα,urn:cite:fuSyntax:0085003tokens.2897053_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:325.2,urn:cite:fuSyntax:0085003sentences.2897053,2069,n-p---na-,urn:cite:fuSyntax:0085003tokens.2897053_5,κέντρον1
κῶλον,urn:cite:fuSyntax:0085003tokens.2897053_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:325.3,urn:cite:fuSyntax:0085003sentences.2897053,2070,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897053_8,κῶλον1
μόναρχος,urn:cite:fuSyntax:0085003tokens.2897053_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:326.2,urn:cite:fuSyntax:0085003sentences.2897053,2076,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897053_17,μόναρχοσ
πόνων,urn:cite:fuSyntax:0085003tokens.2897054_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:328.6,urn:cite:fuSyntax:0085003sentences.2897054,2094,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2897054_12,πόνοσ
περισσόφρων,urn:cite:fuSyntax:0085003tokens.2897056_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:330.6,urn:cite:fuSyntax:0085003sentences.2897056,2109,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897056_5,περισσόφρων1
γλώσσῃ,urn:cite:fuSyntax:0085003tokens.2897056_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:331.1,urn:cite:fuSyntax:0085003sentences.2897056,2111,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2897056_11,γλῶσσα1
ζημία,urn:cite:fuSyntax:0085003tokens.2897056_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:331.3,urn:cite:fuSyntax:0085003sentences.2897056,2113,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2897056_11,ζημία1
αἰτίας,urn:cite:fuSyntax:0085003tokens.2897057_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:332.5,urn:cite:fuSyntax:0085003sentences.2897057,2120,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2897057_4,αἰτία1
ὁδῷ,urn:cite:fuSyntax:0085003tokens.2897061_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:336.7,urn:cite:fuSyntax:0085003sentences.2897061,2152,n-s---md-,urn:cite:fuSyntax:0085003tokens.2897061_6,ὁδόσ
ἔργῳ,urn:cite:fuSyntax:0085003tokens.2897063_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:338.4,urn:cite:fuSyntax:0085003sentences.2897063,2164,n-s---nd-,urn:cite:fuSyntax:0085003tokens.2897063_2,ἔργον1
λόγῳ,urn:cite:fuSyntax:0085003tokens.2897063_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:338.6,urn:cite:fuSyntax:0085003sentences.2897063,2166,n-s---md-,urn:cite:fuSyntax:0085003tokens.2897063_2,λόγοσ
δωρεὰν,urn:cite:fuSyntax:0085003tokens.2897065_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:341.5,urn:cite:fuSyntax:0085003sentences.2897065,2178,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897065_7,δωρεά1
Δί᾽,urn:cite:fuSyntax:0085003tokens.2897065_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:342.2,urn:cite:fuSyntax:0085003sentences.2897065,2181,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897065_7,Ζεύσ
πόνων,urn:cite:fuSyntax:0085003tokens.2897065_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:342.8,urn:cite:fuSyntax:0085003sentences.2897065,2187,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2897065_13,πόνοσ
προθυμίας,urn:cite:fuSyntax:0085003tokens.2897067_1,343b-1,urn:cite:fuSyntax:0085003sentences.2897067,2197,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2897067_3,προθυμία1
μηδὲν,urn:cite:fuSyntax:0085003tokens.2897068_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:344.1,urn:cite:fuSyntax:0085003sentences.2897068,2203,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897068_3,μηδείσ
πημονὰς,urn:cite:fuSyntax:0085003tokens.2897071_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:348.5,urn:cite:fuSyntax:0085003sentences.2897071,2238,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897071_15,πημονή1
κασιγνήτου,urn:cite:fuSyntax:0085003tokens.2897072_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:349.6,urn:cite:fuSyntax:0085003sentences.2897072,2246,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897072_9,κασίγνητοσ
τύχαι,urn:cite:fuSyntax:0085003tokens.2897072_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:349.7,urn:cite:fuSyntax:0085003sentences.2897072,2247,n-p---fn-,urn:cite:fuSyntax:0085003tokens.2897072_8,τύχη1
Ἄτλαντος,urn:cite:fuSyntax:0085003tokens.2897072_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:350.2,urn:cite:fuSyntax:0085003sentences.2897072,2249,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897072_7,Ἄτλασ
τόπους,urn:cite:fuSyntax:0085003tokens.2897072_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:350.7,urn:cite:fuSyntax:0085003sentences.2897072,2254,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2897072_12,τόποσ
κίον᾽,urn:cite:fuSyntax:0085003tokens.2897072_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:351.2,urn:cite:fuSyntax:0085003sentences.2897072,2256,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897072_23,κίων1
οὐρανοῦ,urn:cite:fuSyntax:0085003tokens.2897072_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:351.3,urn:cite:fuSyntax:0085003sentences.2897072,2257,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897072_19,οὐρανόσ
χθονὸς,urn:cite:fuSyntax:0085003tokens.2897072_20,urn:cts:greekLit:tlg0085.tlg003.fuSyn:351.6,urn:cite:fuSyntax:0085003sentences.2897072,2260,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2897072_19,χθών1
ὤμοις,urn:cite:fuSyntax:0085003tokens.2897072_21,urn:cts:greekLit:tlg0085.tlg003.fuSyn:352.1,urn:cite:fuSyntax:0085003sentences.2897072,2261,n-p---md-,urn:cite:fuSyntax:0085003tokens.2897072_22,ὦμοσ
ἄχθος,urn:cite:fuSyntax:0085003tokens.2897072_24,urn:cts:greekLit:tlg0085.tlg003.fuSyn:352.4,urn:cite:fuSyntax:0085003sentences.2897072,2264,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897072_23,ἄχθοσ
οἰκήτορα,urn:cite:fuSyntax:0085003tokens.2897073_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:353.5,urn:cite:fuSyntax:0085003sentences.2897073,2272,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897073_9,οἰκήτωρ1
ἄντρων,urn:cite:fuSyntax:0085003tokens.2897073_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:354.1,urn:cite:fuSyntax:0085003sentences.2897073,2273,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2897073_5,ἄντρον1
τέρας,urn:cite:fuSyntax:0085003tokens.2897073_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:354.6,urn:cite:fuSyntax:0085003sentences.2897073,2278,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897073_16,τέρασ
βίαν,urn:cite:fuSyntax:0085003tokens.2897073_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:355.3,urn:cite:fuSyntax:0085003sentences.2897073,2281,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897073_13,βία1
Τυφῶνα,urn:cite:fuSyntax:0085003tokens.2897073_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:356.1,urn:cite:fuSyntax:0085003sentences.2897073,2283,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897073_9,Τυφῶν1
θοῦρον,urn:cite:fuSyntax:0085003tokens.2897073_17,urn:cts:greekLit:tlg0085.tlg003.fuSyn:356.2,urn:cite:fuSyntax:0085003sentences.2897073,2284,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897073_16,θοῦροσ
θεοῖς,urn:cite:fuSyntax:0085003tokens.2897074_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:356.7,urn:cite:fuSyntax:0085003sentences.2897074,2289,n-p---md-,urn:cite:fuSyntax:0085003tokens.2897074_3,θεόσ
γαμφηλαῖσι,urn:cite:fuSyntax:0085003tokens.2897074_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:357.2,urn:cite:fuSyntax:0085003sentences.2897074,2292,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897074_8,γαμφηλαί1
φόβον,urn:cite:fuSyntax:0085003tokens.2897074_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:357.4,urn:cite:fuSyntax:0085003sentences.2897074,2294,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2897074_8,φόβοσ
ὀμμάτων,urn:cite:fuSyntax:0085003tokens.2897075_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:358.2,urn:cite:fuSyntax:0085003sentences.2897075,2297,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2897075_1,ὄμμα1
σέλας,urn:cite:fuSyntax:0085003tokens.2897075_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:358.6,urn:cite:fuSyntax:0085003sentences.2897075,2301,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897075_4,σέλασ
Διὸς,urn:cite:fuSyntax:0085003tokens.2897075_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:359.3,urn:cite:fuSyntax:0085003sentences.2897075,2305,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897075_11,Ζεύσ
τυραννίδ᾽,urn:cite:fuSyntax:0085003tokens.2897075_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:359.4,urn:cite:fuSyntax:0085003sentences.2897075,2306,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897075_12,τυραννίσ
βίᾳ,urn:cite:fuSyntax:0085003tokens.2897075_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:359.6,urn:cite:fuSyntax:0085003sentences.2897075,2308,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2897075_12,βία1
Ζηνὸς,urn:cite:fuSyntax:0085003tokens.2897076_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:360.4,urn:cite:fuSyntax:0085003sentences.2897076,2313,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2897076_6,Ζεύσ
βέλος,urn:cite:fuSyntax:0085003tokens.2897076_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:360.6,urn:cite:fuSyntax:0085003sentences.2897076,2315,n-s---nn-,urn:cite:fuSyntax:0085003tokens.2897076_7,βέλοσ
καταιβάτης,urn:cite:fuSyntax:0085003tokens.2897076_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:361.1,urn:cite:fuSyntax:0085003sentences.2897076,2317,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897076_9,καταιβάτησ
κεραυνὸς,urn:cite:fuSyntax:0085003tokens.2897076_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:361.2,urn:cite:fuSyntax:0085003sentences.2897076,2318,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897076_7,κεραυνόσ
φλόγα,urn:cite:fuSyntax:0085003tokens.2897076_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:361.4,urn:cite:fuSyntax:0085003sentences.2897076,2320,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2897076_10,φλόξ
κομπασμάτων,urn:cite:fuSyntax:0085003tokens.2897076_18,urn:cts:greekLit:tlg0085.tlg003.fuSyn:363.1,urn:cite:fuSyntax:0085003sentences.2897076,2327,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2897076_15,κόμπασμα1
φρένας,urn:cite:fuSyntax:0085003tokens.2897077_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:363.3,urn:cite:fuSyntax:0085003sentences.2897077,2329,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2897077_3,φρήν1
σθένος,urn:cite:fuSyntax:0085003tokens.2897077_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:364.3,urn:cite:fuSyntax:0085003sentences.2897077,2336,n-s---na-,urn:cite:fuSyntax:0085003tokens.2897077_7,σθένοσ
δέμας,urn:cite:fuSyntax:0085003tokens.2897078_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:365.6,urn:cite:fuSyntax:0085003sentences.2897078,2343,n-s---nn-,urn:cite:fuSyntax:0085003tokens.2897078_7,δέμασ
ῥίζαισιν,urn:cite:fuSyntax:0085003tokens.2897078_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:367.2,urn:cite:fuSyntax:0085003sentences.2897078,2349,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897078_14,ῥίζα1
κορυφαῖς,urn:cite:fuSyntax:0085003tokens.2897079_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:368.1,urn:cite:fuSyntax:0085003sentences.2897079,2353,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897079_3,κορυφή1
ἄκραις,urn:cite:fuSyntax:0085003tokens.2897079_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:368.4,urn:cite:fuSyntax:0085003sentences.2897079,2356,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2897079_1,ἄκρα1
Ἥφαιστος,urn:cite:fuSyntax:0085003tokens.2897079_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:369.1,urn:cite:fuSyntax:0085003sentences.2897079,2359,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2897079_6,Ἥφαιστοσ
ποταμοὶ,urn:cite:fuSyntax:0085003tokens.2897080_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:370.1,urn:cite:fuSyntax:0085003sentences.2897080,2364,n-p---mn-,urn:cite:fuSyntax:0085003tokens.2897080_2,ποταμόσ
